Chinese	Pinyin	English	Status
阿米巴病	āmǐbābìng	Amoebiasis	Learnt
阿司匹林	āsīpǐlín	aspirin	Incorrect
癌变	áibiàn	cancerous	Learnt
癌症	áizhèng	cancer	Incorrect
艾滋病	àizībìng	AIDS	Incorrect
嗳气	àiqì	belching	Incorrect
安慰	ānwèi	comfort	
按摩	ànmó	massage	Learnt
熬夜	áoyè	stay up	Incorrect
B型超声	B xíng chāoshēng	B-mode ultrasound	Incorrect
疤	bā	scar	Incorrect
拔牙术	báyá shù	tooth extraction	Learnt
白斑	báibān	Leukoplakia	Learnt
白癜风	báidiànfēng	Vitiligo	Learnt
白喉	báihóu	diphtheria	Learnt
白化病	báihuàbìng	Albinism	Incorrect
白沫	báimò	white foam	Incorrect
白内障	báinèizhàng	cataract	Incorrect
白细胞	báixìbāo	leukocyte	Learnt
白血病	báixuèbìng	leukemia	Incorrect
白质	báizhì	white matter	Learnt
百日咳	bǎirìké	pertussis	Learnt
败血症	bàixuèzhèng	septicemia	Learnt
班	bān	class	Incorrect
板状腹	bǎnzhuàng fù	plate belly	
办理	bànlǐ	handle	
半衰期	bànshuāiqī	half life	Learnt
半月板	bànyuèbǎn	meniscus	Incorrect
伴随	bànsuí	to accompany	Learnt
伴有	bànyǒu	accompanied by	Incorrect
包括	bāokuò	include	
包扎	bāozā	to bandage	Learnt
薄	bó	Thin	Incorrect
保持	bǎochí	Maintain	Learnt
保健	bǎojiàn	health care	Learnt
保守	bǎoshǒu	keep	Learnt
保险	bǎoxiǎn	Insurance	Learnt
保养	bǎoyǎng	maintainance	
报告	bàogào	Report	Incorrect
暴饮暴食	bàoyǐnbàoshí	overeating	Learnt
悲观	bēiguān	pessimistic	Learnt
北部	běibù	the north	Learnt
奔马律	bēnmǎ lǜ	galloping law	Learnt
绷带	bēngdài	bandage (noun)	Learnt
鼻旁窦	bípángdòu	paranasal sinuses	Learnt
鼻涕	bítì	snot	Learnt
鼻咽癌	bíyānái	nasopharyngeal carcinoma	Incorrect
比例	bǐlì	Proportion	
必要	bìyào	necessary	Learnt
闭经	bìjīng	amenorrhea	Incorrect
避免	bìmiǎn	avoid	Learnt
避孕	bìyùn	contraception	
臂	bì	arm	Learnt
边界	biānjiè	boundary	
边缘	biānyuán	edge	
扁平苔癣	biǎnpíng táixuǎn	Lichen planus	
扁桃体炎	biǎntáotǐyán	tonsillitis	
变态反应	biàntàifǎnyìng	allergy	
变应原	biànyìngyuán	allergen	Incorrect
变质	biànzhì	Deteriorate 	Incorrect
便秘	biànmì	constipate	Incorrect
便血	biànxiě	blood in stool	Incorrect
遍布	biànbù	all over	Learnt
标本	biāoběn	specimen	
标记	biāojì	mark	
表面	biǎomiàn	surface	Learnt
表现	biǎoxiàn	Performance	
憋	biē	hold back	
并发症	bìngfāzhèng	complication	Incorrect
病案室	bìngàn shì	Medical record room	Incorrect
病程	bìngchéng	course of disease	Learnt
病毒	bìngdú	Virus	Learnt
病理	bìnglǐ	pathology	Learnt
病历	bìnglì	medical records	
病例	bìnglì	cases	
病史	bìngshǐ	medical history	Learnt
病危/重	bìngwēi / zhòng	Critically ill/serious	Incorrect
病因	bìngyīn	Etiology	Learnt
病原	bìngyuán	pathogen	Learnt
脖子	bózi	neck	
不孕	bùyùn	infertility	
补充	bǔchōng	Replenish	Learnt
补救	bǔjiù	remedy	Learnt
补体	bǔtǐ	complement	Learnt
补液	bǔyè	rehydration	
哺乳	bǔrǔ	breast-feeding	Learnt
不良	bùliáng	bad	Learnt
不详	bùxiáng	unknown	Incorrect
不足	bùzú	insufficient	
步骤	bùzhòu	step	Learnt
部位	bùwèi	parts	
采集	cǎijí	collection	
采取	cǎiqǔ	take	
采血室	cǎixuè shì	blood collection room	
彩超	cǎichāo	Color Doppler	
参考	cānkǎo	refer to	
参与	cānyù	participate	
残疾	cánjí	disabled	Incorrect
残留	cánliú	residual	Learnt
残胃癌	cán wèiái	Stomach cancer	Incorrect
苍白	cāngbái	pale	Learnt
操作	cāozuò	operate	
侧面	cèmiàn	side	Learnt
侧脑室	cènǎoshì	lateral ventricle	
侧支循环	cèzhī xúnhuán	collateral circulation	
测量	cèliáng	Measurement	
插	chā	insert	Incorrect
查房	cháfáng	rounds	
拆	chāi	dismantle	Learnt
产程	chǎnchéng	labor process	Incorrect
产道	chǎndào	Birth canal	Learnt
产后出血	chǎnhòu chūxuè	postpartum hemorrhage	
产力	chǎnlì	Productivity	Learnt
产褥期	chǎnrùqī	puerperium	
产生	chǎnshēng	produce	
颤抖	chàndǒu	trembling	Incorrect
肠闭锁	cháng bìsuǒ	intestinal atresia	Learnt
肠鸣音	cháng míngyīn	Bowel sounds	Incorrect
肠套叠	chángtàodié	intussusception	Incorrect
肠系膜	chángxìmó	Mesentery	Incorrect
场所	chǎngsuǒ	place	Incorrect
超敏反应	chāomǐnfǎnyìng	hypersensitivity reaction	
潮湿	cháoshī	wet	
彻底	chèdǐ	thorough	
沉默	chénmò	silence	Incorrect
辰僵	chén jiāng	Morning stiffness	Learnt
成分	chéngfèn	Element	Incorrect
成人	chéngrén	Adult	Learnt
